Manufacturer Part Number,Manufacturer Name,Description,Qty-1,Qty-3,Qty-5,Qty-25,Part References,Value,On Hand,To Be Ordered,Ordered
10104111-0001LF,FCI,CONN RCPT STD MICRO USB TYPE AB,1,3,5,25,CN1,,0,3,
CDBW140-G,Comchip Technology,DIODE SCHOTTKY 40V 1A SOD123,2,6,10,50,"D1, D2",,0,6,
KMR221NG,C&K Components,SWITCH TACTILE SPST-NO 0.05A 32V,2,6,10,50,"ERASE, RESET",,1,5,
MC-146 32.768KA-AC3,Epson,CRYSTAL 32.7680KHZ 9PF SMD,1,3,5,25,Y2,,,3,
generic resistor:1K/0402,any,"generic 1K chip resistor, 0402 package",3,9,15,75,"R5, R7, R8",1K,,9,
generic MLCC:1u/25V/0603,any,"generic MLCC, 1 uF, 25V, 0603 package",1,3,5,25,C1,1uF,plenty,,
generic MLCC:2u2/6V3/0603,any,"generic MLCC, 2.2 uF, 6.3V, 0603 package",1,3,5,25,C14,2u2,plenty,,
generic MLCC:4u7/10V/0603,any,"generic MLCC, 4.7 uF, 10V, 0603 package",7,21,35,175,"C6, C7, C10, C23, C24, C25, C26",4u7,33,-12,
generic MLCC:4u7/25V/0603,any,"generic MLCC, 4.7 uF, 25V, 0603 package",3,9,15,75,"C3, C4, C8",4u7,33,-24,
,Johanson Tech,CAP CER 5.6PF 250V NP0 0402,1,3,5,25,C18,5p6,,3,
,Kemet,CAP CER 10PF 50V 10% NP0 0402,2,6,10,50,"C16, C17",10 pF,,6,
generic resistor:10K/0402,any,"generic 10K chip resistor, 0402 package",6,18,30,150,"R1, R2, R9, R10, R11, R14",10K,,18,
MLZ2012N100LT000,TDK,FIXED IND 10UH 500MA 300 MOHM,1,3,5,25,L1,10u/100mA,,3,
generic resistor:12K/0402,any,"generic 12K chip resistor, 0402 package",1,3,5,25,R3,12K,,3,
PRQC12.00CR1010V00L,AVX/Kyocera,RESONATOR CER 12.00MHZ SMD,1,3,5,25,Q1,12MHz,,3,
403C11A26M00000,CTS-Frequency Controls,CRYSTAL 26.0000MHZ 10PF SMD,1,3,5,25,Y1,26 MHz/10 pF,3,0,
EXB-V4V270JV,Panasonic,RES ARRAY 27 OHM 2 RES 0606,1,3,5,25,RN1,27R,6,-3,
generic MLCC:100n/16V/0402,any,"generic MLCC, 100 nF, 16V, 0402 package",13,39,65,325,"C2, C5, C11, C12, C13, C15, C19, C20, C21, C22, C27, C28, C29",100n,,39,
generic MLCC:100n/50V/0603,any,"generic MLCC, 100 nF, 50V, 0603 package",1,3,5,25,C9,100n,plenty,,
generic resistor:200R/0402,any,"generic 200R chip resistor, 0402 package",1,3,5,25,R13,200R,,3,
MF-MSMF050-2,Bourns Inc.,PTC RESETTABLE .50A 15V 1812,1,3,5,25,F1,500mA,6,-3,
AP2111H-3.3TRG1,Diodes Inc,IC REG LDO 3.3V 0.6A SOT223,1,3,5,25,U2,AP2111HA-3.3,6,-3,
LB Q39G-L2N2-35-1,OSRAM,LED CHIPLED BLUE 470NM 0603 SMD,1,3,5,25,ON,BLU,5,-2,
CG0603MLC-05E,Bourns Inc,VARISTOR 0603,2,6,10,50,"Z1, Z2",CG0603MLC-05E,10,-4,
ESP8266EX,Espressif,*,1,3,5,25,U5,ESP8266EX,n/a,,
LTST-C191KGKT,Lite-On,LED GREEN CLEAR THIN 0603 SMD,1,3,5,25,L,GRN,10,-7,
ATSAM4S2AA-MU,Atmel,IC MCU 32BIT 128KB FLASH 48QFN,1,3,5,25,U1,SAM3SA-MU,2,1,
SST25VF512A-33-4C-SAE,Microchip,IC FLASH 512KBIT 33MHZ 8SOIC,1,3,5,25,U6,SPI_FLASH,n/a,,
LTST-C191KSKT,Lite-On,LED YELLOW CLEAR THIN 0603 SMD,1,3,5,25,RX,YLW,10,-7,
